class,AP@50,AP@55,AP@60,AP@65,AP@70,AP@75,AP@80,AP@85,AP@90,AP@95,mean_AP
smoke,0.8323,0.8063,0.7711,0.7092,0.6384,0.5394,0.4273,0.2908,0.1618,0.0276,0.5204
fire,0.7014,0.6614,0.6115,0.5345,0.4505,0.3483,0.2431,0.1374,0.0484,0.0026,0.3739
mAP,0.7668,0.7339,0.6913,0.6218,0.5445,0.4438,0.3352,0.2141,0.1051,0.0151,0.4472
