class,AP@50,AP@55,AP@60,AP@65,AP@70,AP@75,AP@80,AP@85,AP@90,AP@95,mean_AP
smoke,0.8375,0.8121,0.7718,0.7112,0.6372,0.5382,0.4277,0.2954,0.1575,0.0254,0.5214
fire,0.7122,0.6722,0.6195,0.5439,0.4582,0.3495,0.2334,0.1299,0.0512,0.0019,0.3772
mAP,0.7748,0.7421,0.6957,0.6276,0.5477,0.4438,0.3305,0.2126,0.1044,0.0137,0.4493
