epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,24979,1.48935,1.08016,0.01143,0.75351,0.68791,0.7702,0.44722,1.195,0.95051,0.01305,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,25754.3,1.47673,1.06692,0.01112,0.75536,0.69544,0.77314,0.45127,1.19992,0.97271,0.01311,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,26530.7,1.46879,1.03917,0.01105,0.76718,0.70707,0.77394,0.45097,1.20109,0.93118,0.01322,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,27307,1.47851,1.03711,0.01106,0.75466,0.70432,0.76747,0.45312,1.19083,0.94443,0.01321,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,28082.9,1.45097,1.02126,0.0109,0.75623,0.71199,0.77523,0.45609,1.20097,0.9303,0.01303,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,28860.5,1.4475,1.0112,0.01085,0.77409,0.68943,0.77246,0.45969,1.19891,0.92436,0.01313,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,29636.7,1.45339,0.99315,0.01074,0.75799,0.71971,0.78198,0.46277,1.18764,0.92052,0.01305,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,30407.5,1.44485,0.9977,0.01086,0.77057,0.71754,0.78238,0.46327,1.18304,0.92141,0.01293,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,31181.1,1.42629,0.96839,0.01061,0.78781,0.70139,0.77965,0.46218,1.18236,0.91568,0.01289,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,31954.4,1.42432,0.96378,0.01057,0.7679,0.71256,0.78487,0.46712,1.17345,0.8702,0.01265,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,32725.2,1.40451,0.94401,0.01037,0.76715,0.72874,0.78425,0.46745,1.17631,0.90784,0.01276,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,33493.6,1.40262,0.9298,0.01038,0.77736,0.72026,0.7808,0.46895,1.17186,0.8912,0.01271,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,34271,1.40613,0.93203,0.01043,0.77457,0.71024,0.78119,0.47029,1.16957,0.91814,0.01262,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,35048.3,1.38752,0.90921,0.01024,0.77853,0.71017,0.7807,0.46498,1.18152,0.94128,0.0129,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,35823.1,1.38066,0.88792,0.01003,0.76974,0.73865,0.7853,0.47023,1.16902,0.901,0.01262,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,36595,1.36583,0.87609,0.01004,0.78766,0.72867,0.79009,0.47413,1.17564,0.89004,0.01274,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,37363.3,1.36134,0.87694,0.00991,0.77799,0.73533,0.78945,0.4729,1.18111,0.8934,0.01282,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,38131.7,1.34591,0.86165,0.00971,0.77887,0.72841,0.79027,0.47327,1.17108,0.88585,0.01271,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,38899,1.34537,0.85752,0.00977,0.77,0.73164,0.78125,0.47103,1.16616,0.90246,0.01264,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,39666.3,1.33498,0.84351,0.00953,0.77727,0.72285,0.78646,0.47429,1.18205,0.87913,0.01273,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,40434.7,1.3239,0.82756,0.00959,0.77638,0.72965,0.78975,0.4759,1.17977,0.88427,0.01268,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,41201.7,1.31863,0.80822,0.00951,0.79185,0.71607,0.78853,0.47549,1.18759,0.86374,0.01278,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,41969.5,1.31633,0.79822,0.00944,0.78504,0.7314,0.79156,0.47727,1.18916,0.86771,0.01285,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,42737.6,1.304,0.78781,0.00932,0.78716,0.73623,0.79276,0.47779,1.18919,0.86209,0.01292,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,43505.9,1.2958,0.77436,0.00917,0.78936,0.73173,0.79246,0.47711,1.19076,0.85361,0.01288,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,44273.9,1.2943,0.7676,0.00915,0.78118,0.74309,0.79217,0.47757,1.19166,0.85643,0.01288,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,45042.9,1.27979,0.75791,0.00901,0.80087,0.72033,0.7929,0.4782,1.18344,0.86936,0.01279,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,45816.6,1.27161,0.7559,0.00891,0.78519,0.72892,0.79102,0.47974,1.18538,0.85916,0.01278,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,46590.6,1.25445,0.72899,0.00881,0.78624,0.74256,0.79249,0.48025,1.18924,0.85296,0.01287,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,47364.7,1.24516,0.72351,0.00867,0.79207,0.73741,0.79499,0.48237,1.18276,0.85648,0.01274,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,48139.2,1.23877,0.70611,0.00875,0.79804,0.72759,0.79489,0.48469,1.17698,0.85451,0.01269,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,48911.5,1.23685,0.71093,0.00854,0.77452,0.7451,0.79197,0.48217,1.18356,0.84823,0.01281,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,49682.6,1.22945,0.69453,0.00859,0.78922,0.73782,0.79331,0.48256,1.18145,0.85387,0.01282,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,50457.3,1.21445,0.68583,0.00848,0.80001,0.73421,0.79333,0.48239,1.18668,0.8574,0.01285,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,51232.6,1.19946,0.67628,0.00826,0.80422,0.73698,0.79395,0.48343,1.18621,0.8563,0.01283,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,52008.2,1.1964,0.66893,0.00816,0.79969,0.73955,0.79301,0.48238,1.1906,0.85761,0.01289,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,52782.8,1.18532,0.66195,0.00824,0.80043,0.73764,0.79127,0.48112,1.19337,0.85803,0.0129,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,53557.2,1.17638,0.65438,0.00809,0.79918,0.74194,0.79224,0.4814,1.18704,0.86095,0.01285,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,54332.4,1.16464,0.64448,0.00791,0.80349,0.74063,0.79262,0.48244,1.19014,0.86097,0.0129,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,55101.8,1.15074,0.63284,0.00785,0.7943,0.7414,0.79107,0.48247,1.19038,0.86312,0.0129,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,55869.7,1.14809,0.62506,0.00777,0.79625,0.74553,0.79279,0.48298,1.18687,0.86929,0.01291,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,56641.1,1.14417,0.61563,0.00776,0.7962,0.74075,0.79282,0.48297,1.18695,0.87331,0.01292,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,57413.7,1.13046,0.60922,0.00764,0.78989,0.74763,0.79062,0.48242,1.19165,0.87185,0.01298,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,58185.7,1.11771,0.59204,0.00758,0.79177,0.74473,0.79022,0.48143,1.19123,0.878,0.01298,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,58958.1,1.11014,0.58868,0.00735,0.79389,0.74681,0.79001,0.48196,1.20082,0.86748,0.01309,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,59732,1.09454,0.57565,0.00732,0.80184,0.74069,0.79128,0.48298,1.19222,0.88189,0.013,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,60507.7,1.09394,0.56624,0.00715,0.7999,0.73886,0.79002,0.48277,1.19196,0.8901,0.01297,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,61280.6,1.08691,0.56481,0.00722,0.8017,0.74233,0.78965,0.48261,1.20307,0.87669,0.01304,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,62050,1.07483,0.56139,0.0071,0.79452,0.74395,0.78753,0.48251,1.20343,0.87962,0.01302,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,62816.8,1.05976,0.54864,0.00707,0.79671,0.74242,0.78931,0.48249,1.20539,0.87864,0.01307,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,63583.8,1.05154,0.53698,0.00698,0.79206,0.74545,0.78906,0.48322,1.20583,0.88048,0.01307,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,64350.2,1.04871,0.54107,0.00671,0.79248,0.74676,0.78995,0.48361,1.20809,0.88163,0.01309,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,65117,1.03186,0.52895,0.0067,0.79432,0.7505,0.79028,0.48409,1.20803,0.88149,0.01309,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,65883.9,1.01988,0.51596,0.00664,0.79272,0.75066,0.78985,0.48423,1.20969,0.88066,0.0131,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,66650.5,1.01464,0.5215,0.0066,0.79173,0.7502,0.78934,0.48342,1.21175,0.87941,0.01313,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,67416.1,1.00393,0.51544,0.00656,0.79429,0.7464,0.78979,0.48332,1.2117,0.88509,0.01314,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,68179.7,1.00164,0.50812,0.00651,0.79318,0.74522,0.7891,0.48299,1.21085,0.89046,0.01314,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
