epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,28453.7,0.41658,0.49024,0.21201,0.79268,0.72761,0.77224,0.43895,0.34071,0.77248,0.22755,1.44161e-05,1.44161e-05,1.44161e-05
40,29193.1,0.41945,0.49076,0.21081,0.78532,0.73164,0.77217,0.4392,0.34177,0.77575,0.23193,1.23596e-05,1.23596e-05,1.23596e-05
41,29933.9,0.39639,0.43732,0.21401,0.78704,0.72887,0.77272,0.43932,0.34381,0.73895,0.22998,1.04537e-05,1.04537e-05,1.04537e-05
42,31256.5,0.39092,0.43061,0.2073,0.79153,0.72837,0.77444,0.44044,0.34067,0.71606,0.22699,8.70577e-06,8.70577e-06,8.70577e-06
43,31933.8,0.38489,0.42592,0.20793,0.79344,0.72655,0.77715,0.4417,0.34198,0.66717,0.22983,7.12282e-06,7.12282e-06,7.12282e-06
44,32611.4,0.38522,0.42677,0.20278,0.79854,0.72747,0.77814,0.44217,0.3413,0.66838,0.22658,5.71106e-06,5.71106e-06,5.71106e-06
45,33288.8,0.38331,0.42133,0.20157,0.79735,0.72667,0.77696,0.44263,0.34007,0.68114,0.2263,4.47606e-06,4.47606e-06,4.47606e-06
46,33967,0.37952,0.42018,0.19932,0.79463,0.72897,0.77815,0.44286,0.34119,0.66493,0.22908,3.4227e-06,3.4227e-06,3.4227e-06
47,34644.3,0.38541,0.41356,0.20106,0.79213,0.72956,0.77848,0.44296,0.34015,0.65857,0.22759,2.55513e-06,2.55513e-06,2.55513e-06
48,35322.1,0.38192,0.41376,0.19883,0.7914,0.72739,0.77806,0.44295,0.34085,0.66409,0.22856,1.87678e-06,1.87678e-06,1.87678e-06
49,36000.7,0.37901,0.41681,0.20048,0.79242,0.72555,0.77735,0.44268,0.34072,0.66563,0.22902,1.39032e-06,1.39032e-06,1.39032e-06
50,36679,0.37893,0.41898,0.19663,0.79712,0.7253,0.7785,0.44315,0.34043,0.65872,0.2301,1.09768e-06,1.09768e-06,1.09768e-06
